0_0,0_1,0_2,1_0,1_1,1_2,decay_0,decay_1,W_0,W_1,J_0
0.528,0.548,0.308,-0.008,0.044,-0.02,6.2630481339456185,6.137951431106351,2.8592174436334856,4.580801566729097,0.0
0.74,0.504,0.34,0.256,-0.028,0.004,6.393278115708736,3.057905451292209,5.490346065857582,2.0517151616665927,0.0
0.628,0.636,0.44,0.052,-0.68,-0.132,1.113481707002328,5.26591262532255,8.216477671020042,2.4923348127368747,0.0
0.592,0.616,0.376,0.124,-0.196,-0.008,3.793543364068255,5.247149450126998,6.790560552484052,1.2506557118737844,0.0
0.6,0.624,0.384,-0.104,0.028,0.004,5.426783801135272,3.2307835109710474,3.8365560066686797,5.953745398636665,0.0
0.54,0.764,0.4,-0.168,-0.08,-0.008,1.5964375325418096,4.620822574168069,4.765314773383011,6.19878787198222,0.0
0.652,0.608,0.404,-0.54,0.08,-0.02,4.170855979895588,1.3833790944655293,3.8551889871456186,7.620971373694344,0.0
0.404,0.476,0.216,-0.156,-0.092,-0.064,5.268089207021601,6.508012896904486,5.669717761598817,7.394376073454892,0.0
0.376,0.416,0.176,-0.016,-0.012,0.036,8.095097401771532,9.590731250162898,6.209262515487424,2.4030164442880095,0.0
0.372,0.328,0.036,-0.016,-0.048,-0.072,6.968845449706697,6.407882748012835,7.915130808337751,7.624742580119689,0.0
0.46,0.644,0.256,0.076,-0.264,-0.052,3.20550387678967,6.915526002719458,7.151450814105186,2.9805940989907387,0.0
0.544,0.604,0.3,-0.208,-0.528,0.056,2.2148683072155126,5.201266292608134,8.564041116924582,6.927385525968832,0.0
0.372,0.408,0.164,-0.024,-0.02,0.044,9.238737232011857,8.367965081151338,5.5786249215962105,5.648540974558728,0.0
0.46,0.484,0.208,-0.076,0.052,-0.016,6.848881008927767,5.564232479607095,3.6002289459704193,6.442872320378972,0.0
0.736,0.488,0.36,0.144,-0.324,-0.02,3.21974106050095,2.280269619947852,8.795765191366154,3.85737638026999,0.0
0.504,0.444,0.292,0.036,-0.168,-0.004,5.1907274322601,5.493025996575542,8.13443748397656,4.016203019125852,0.0
0.488,0.516,0.26,-0.012,-0.056,-0.052,5.48383105401857,5.736308857053003,6.190797867797511,5.7807320890476745,0.0
0.604,0.524,0.32,0.16,0.084,0.012,6.754346514446544,5.677516045644534,2.675275582242447,1.3138638263545084,0.0
0.676,0.852,0.592,0.048,0.272,0.024,0.9418467227267859,3.8731477620513894,3.3685279327819586,3.297970373855142,0.0
0.748,0.712,0.524,0.04,0.112,0.04,3.2628833966157527,2.38976745867942,2.9550345152984496,4.132019292129341,0.0
0.4,0.6,0.208,-0.208,0.004,0.028,4.853854314443023,4.375071815700408,4.497931491199479,9.787186038503172,0.0
0.456,0.632,0.304,-0.128,-0.024,0.04,3.7149496234911696,5.14906401758957,5.355396385278171,7.999035390484719,0.0
0.728,0.588,0.396,0.084,0.004,-0.08,6.4908723592090585,3.1803209985472884,3.533932232921384,3.7180950009131113,0.0
0.44,0.544,0.208,-0.116,-0.188,0.008,4.280266431585241,6.68040770126998,7.312817594885512,7.0266778141485755,0.0
0.28,0.608,0.2,-0.024,-0.056,-0.024,3.2952302713815906,8.30735563858072,5.368441772352063,8.955279134890613,0.0
0.488,0.644,0.316,-0.048,-0.312,-0.008,2.846815867406404,6.361780343997594,6.258840528905633,4.0354993161955655,0.0
0.384,0.464,0.152,0.008,-0.028,0.004,5.909053676393073,8.955464720076755,6.750990413049404,4.657587602311537,0.0
0.468,0.672,0.316,-0.02,-0.044,-0.016,3.726131709354477,7.098006676901061,5.071584136465394,5.451957741997011,0.0
0.7,0.704,0.532,0.172,-0.088,0.044,3.6509614496637637,3.2655910484781625,4.500153089979827,3.2013519597757476,0.0
0.572,0.756,0.472,-0.02,-0.012,-0.024,1.9605987177849449,6.455791866075939,4.658841626316595,6.022751513436331,0.0
0.584,0.48,0.232,-0.204,0.032,-0.036,7.603557383799999,3.448598669936292,4.186859260395409,7.192006597523851,0.0
