0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.0176,-0.0032,-0.0112,-0.0484,0.036,-0.022,5.186901591413125,1.769256168732379,5.922650171342125,6.433339891700335,7.3175038331753655
1.0,1.0,1.0,-0.0068,-0.0172,0.028,-0.0012,0.032,-0.0012,3.6421286297822495,5.1120749915828245,3.775366528754677,7.800638514977006,5.158258616403678
1.0,1.0,1.0,-0.0476,-0.0116,0.0032,0.0612,-0.02,0.0068,4.179120310948458,-0.4985270641323969,6.059795136336866,6.903383862886519,5.893898101968073
1.0,1.0,1.0,-0.036,-0.0428,0.0052,0.0128,-0.0008,0.0,3.032442701727886,4.382630928324753,6.342871673400639,5.048970461499858,5.371484999093048
1.0,1.0,1.0,0.0216,-0.0204,-0.0068,0.0036,-0.232,-0.0076,-2.1562238762553854,2.470951546345934,2.8576052723674077,2.4993152975261737,6.321540524815244
1.0,1.0,1.0,0.3256,-0.042,-0.0028,0.0256,-0.0252,0.0092,4.587339030021527,1.0278202171013158,5.251425579635034,7.287136711259173,7.6011720847167545
1.0,1.0,1.0,0.0016,0.0712,-0.0032,0.03,0.008,-0.0132,3.6581154278723162,4.065394374069076,8.364507347408637,6.307375330533999,7.491458708415671
1.0,1.0,1.0,0.0356,-0.0444,-0.056,-0.0216,-0.016,-0.0064,1.4420422458314384,2.418595569509294,9.305947122085236,6.495785954518895,3.628468211738548
1.0,1.0,1.0,-0.0652,-0.0092,0.0768,-0.2524,0.0016,0.026,3.1214183369165194,0.48083743489832953,5.756547861002506,6.4908050676716345,4.289084714892753
1.0,1.0,1.0,0.0012,-0.0068,0.0048,-0.0168,-0.0068,0.0156,4.838947912674425,6.471203280433273,6.257265760221429,5.690319280166461,2.243693306896164
1.0,1.0,1.0,-0.048,0.0044,0.026,0.0144,-0.0132,-0.0092,3.27595342705321,3.1768447684014496,6.95558834154407,6.3359689570314535,6.110860129620409
1.0,1.0,1.0,-0.2252,-0.0396,0.0208,0.0172,0.006,0.0032,3.3225448736998917,1.0420648510249533,4.9719529627904,3.860740202076819,6.260760535324708
1.0,1.0,1.0,0.0148,0.0184,-0.0044,-0.016,0.0084,-0.0204,3.0375144269370487,3.055529144086026,2.3426017823062986,1.8737841932099402,6.667769424353356
1.0,1.0,1.0,-0.0424,0.0064,-0.0056,-0.0208,0.0164,0.0204,3.850346211383082,3.120555366809276,2.383479296241119,5.928033633524171,6.31312521485385
1.0,1.0,1.0,-0.0096,-0.1284,0.0028,0.004,0.0788,0.01,0.71556032296618,6.193128633213309,6.799428694095552,3.8239472819221767,4.94095118323313
1.0,1.0,1.0,-0.0048,0.0048,0.0024,0.006,0.0032,0.0196,2.830726726289544,5.770431067456199,2.6963862478648175,4.750337500130755,5.623146251831467
1.0,1.0,1.0,0.0928,0.006,-0.0188,-0.1228,-0.0224,0.0052,4.628469055580258,0.9312443697130925,5.844161792139309,9.133240683299187,4.5602600479966755
1.0,1.0,1.0,0.1196,0.008,-0.0316,0.0028,0.0092,0.0136,5.764258766202106,2.292091022032952,6.582997913706306,1.381241197167066,6.425503859654176
1.0,1.0,1.0,-0.0112,-0.1052,-0.0116,-0.0188,-0.0228,0.0096,1.8235141062308486,8.051582517793824,5.034983660869473,3.837633879664896,5.521363257127923
1.0,1.0,1.0,0.0184,-0.0172,-0.002,0.0244,-0.006,0.0176,4.476866842497855,3.6640837723178077,4.372266858157769,6.715802751135483,1.6525826449774264
